title,titleUrl,subtitles/0/name,subtitles/0/url,time
Watched Avoiding Toxic Productivity Advice for ADHD,https://www.youtube.com/watch?v=JsT3KPYJFl4,ADHD Jesse,https://www.youtube.com/channel/UCAnlyKaRztOIS1Gyvn2-O6A,2023-01-06T10:15:40.923Z
Watched روتيني الصباحي - 5 الفجر,https://www.youtube.com/watch?v=GUHf9zpKLl4,عبدالله العلاوي,https://www.youtube.com/channel/UCUdtq-Fvlw7_NjzduNTZsbg,2023-01-06T10:08:24.862Z
Watched أقوى نصيحة تغير حياتك من ناصر العقيل |#shorts #دوباميكافين_كتب,https://www.youtube.com/watch?v=L4i9tvYqVxg,ليان لنتغير,https://www.youtube.com/channel/UCwPVDiounV1eug0Bbid-z9g,2023-01-05T14:56:51.622Z
Watched How to Design Your Life (My Process For Achieving Goals),https://www.youtube.com/watch?v=Czru2CuWyxQ,ModernHealthMonk,https://www.youtube.com/channel/UCix7wE05YbRdOVUPNHy0KTg,2023-01-05T10:19:15.433Z
Watched Jordan Peterson - What Makes Overcoming Addiction So Difficult?,https://www.youtube.com/watch?v=bXYAWCAIqRE,Bite-sized Philosophy,https://www.youtube.com/channel/UCo9QgwWCNEhDxL1gH-jxa8Q,2023-01-05T08:45:06.838Z
Watched She screamed for her life on the 360 swing 😂,https://www.youtube.com/watch?v=xCE2H_1wBic,IAMJORDAN TV,https://www.youtube.com/channel/UC5fACj0eh0z9NDF9U14czfw,2023-01-05T08:44:04.621Z
Watched Andrew Huberman - How To Overcome Your Social Media Addiction,https://www.youtube.com/watch?v=1nFrHCT_SJA,Chris Williamson,https://www.youtube.com/channel/UCIaH-gZIVC432YRjNVvnyCA,2023-01-05T08:43:26.035Z
Watched 3 HACKS TO KILL PHONE ADDICTION❌ | Ankur Warikoo #shorts,https://www.youtube.com/watch?v=iekpz3Afq5I,Ishan Sharma,https://www.youtube.com/channel/UCY6N8zZhs2V7gNTUxPuKWoQ,2023-01-05T08:42:50.846Z
Watched Why I Quit YouTube,https://www.youtube.com/watch?v=7KtRiZ-wJns,Andrew Kirby,https://www.youtube.com/channel/UC8JNIm02zw8h_3NBrP_zsZA,2023-01-05T08:42:34.651Z
Watched YouTube Addiction? Do This! #focus,https://www.youtube.com/watch?v=lkZ296rQHQs,Nishant Jindal,https://www.youtube.com/channel/UCan6AI1ASU12XvVTom1WglQ,2023-01-05T08:42:32.255Z
Watched ⚠️ 5 Signs You're Addicted To Your Phone📱 - Dr Julie | #shorts,https://www.youtube.com/watch?v=43RbxUCizzY,Dr Julie,https://www.youtube.com/channel/UCl8TEoIOnMq_5ntJOYMq-Zg,2023-01-05T08:41:57.232Z
Watched How I Beat My Youtube Addiction,https://www.youtube.com/watch?v=ikI5qgwDB1U,🧠 Benedek Santa,https://www.youtube.com/channel/UCMQQEFFXV3CY4GchGwymktw,2023-01-05T08:40:18.494Z
Watched Addicted to YouTube? WATCH THIS.,https://www.youtube.com/watch?v=q_xm5Weu3nE,Andrew Kirby,https://www.youtube.com/channel/UC8JNIm02zw8h_3NBrP_zsZA,2023-01-05T08:24:51.834Z
Watched The Actual Benefits of Quitting Social Media (Dopamine Detox),https://www.youtube.com/watch?v=PS6QBarL9UQ,Maxwell,https://www.youtube.com/channel/UCNo6k0I6OV6eYZebVaogYUw,2023-01-05T08:13:42.669Z
Watched How to take back CONTROL over YOUR LIFE | Monk Mode,https://www.youtube.com/watch?v=56AD4lejvag,Iman Gadzhi,https://www.youtube.com/channel/UCQ4FNww3XoNgqIlkBqEAVCg,2023-01-04T03:43:32.144Z
Watched Delaying gratification will 10X your life quality,https://www.youtube.com/watch?v=rKMEkQ-e9I8,Sebastian Ghiorghiu,https://www.youtube.com/channel/UCZ59iKBmGRfQlnl73sOX0Lw,2023-01-03T17:19:34.046Z
Watched كيف تخلصت من ادمان الموبايل  (تجربة شخصية) خطوات بسيطة #اللعبة  #١٢,https://www.youtube.com/watch?v=atkAy_XYDKo,ثائر TG,https://www.youtube.com/channel/UCfLje18auyW9CG8YOBO4SDg,2023-01-03T14:12:33.985Z
Watched خطة ال 30 يوم 📱📵- كتاب كيف تقطع علاقتك بهاتفك؟ #أخضر,https://www.youtube.com/watch?v=bclLXd9qyOg,أخضر,https://www.youtube.com/channel/UCtUor2SqesPS3b_SMFtLT_w,2023-01-03T14:01:00.392Z
Watched تخلّص من إدمان السوشيال ميديا .. وانطلق نحو النجاح!,https://www.youtube.com/watch?v=LVyLseOZMks,Dai Bowarshi,https://www.youtube.com/channel/UCNeSlvG0i0dFJCAN292jJMw,2023-01-03T14:00:41.062Z
